date,A17U.SI,N2IU.SI,M1GU.SI
2018-01-02,2.75,1.65,0.395
2018-01-03,2.74,1.67,0.4
2018-01-04,2.79,1.67,0.405
2018-01-05,2.8,1.67,0.41
2018-01-08,2.8,1.67,0.405
2018-01-09,2.78,1.68,0.405
2018-01-10,2.78,1.67,0.405
2018-01-11,2.78,1.66,0.405
2018-01-12,2.79,1.66,0.4
2018-01-15,2.75,1.65,0.41
2018-01-16,2.75,1.63,0.405
2018-01-17,2.76,1.65,0.405
2018-01-18,2.77,1.65,0.405
2018-01-19,2.77,1.66,0.415
2018-01-22,2.79,1.66,0.415
2018-01-23,2.76,1.65,0.415
2018-01-24,2.77,1.66,0.415
2018-01-25,2.75,1.68,0.415
2018-01-26,2.84,1.67,0.415
2018-01-29,2.82,1.66,0.41
2018-01-30,2.76,1.68,0.41
2018-01-31,2.76,1.69,0.405
2018-02-01,2.72,1.68,0.405
2018-02-02,2.71,1.62,0.4
2018-02-05,2.67,1.58,0.39
2018-02-06,2.63,1.56,0.39
2018-02-07,2.65,1.57,0.395
2018-02-08,2.6,1.56,0.395
2018-02-09,2.57,1.54,0.385
2018-02-12,2.58,1.55,0.38
2018-02-13,2.59,1.55,0.385
2018-02-14,2.57,1.53,0.38
2018-02-15,2.57,1.53,0.39
2018-02-19,2.62,1.57,0.385
2018-02-20,2.61,1.58,0.395
2018-02-21,2.59,1.55,0.39
2018-02-22,2.55,1.55,0.39
2018-02-23,2.59,1.57,0.39
2018-02-26,2.61,1.59,0.39
2018-02-27,2.65,1.57,0.395
2018-02-28,2.65,1.57,0.395
2018-03-01,2.6,1.56,0.395
2018-03-02,2.61,1.55,0.4
2018-03-05,2.58,1.55,0.4
2018-03-06,2.62,1.54,0.405
2018-03-07,2.59,1.54,0.405
2018-03-08,2.61,1.55,0.415
2018-03-09,2.62,1.54,0.415
2018-03-12,2.66,1.56,0.42
2018-03-13,2.67,1.57,0.415
2018-03-14,2.64,1.57,0.42
2018-03-15,2.66,1.57,0.425
2018-03-16,2.66,1.58,0.42
2018-03-19,2.67,1.58,0.42
2018-03-20,2.68,1.59,0.415
2018-03-21,2.69,1.59,0.42
2018-03-22,2.68,1.58,0.42
2018-03-23,2.61,1.57,0.415
2018-03-26,2.6,1.55,0.415
2018-03-27,2.64,1.55,0.42
2018-03-28,2.6,1.56,0.42
2018-03-29,2.63,1.57,0.425
2018-04-02,2.66,1.58,0.42
2018-04-03,2.64,1.58,0.42
2018-04-04,2.64,1.58,0.415
2018-04-05,2.65,1.55,0.42
2018-04-06,2.69,1.56,0.42
2018-04-09,2.69,1.56,0.42
2018-04-10,2.71,1.57,0.42
2018-04-11,2.7,1.58,0.425
2018-04-12,2.7,1.59,0.43
2018-04-13,2.69,1.58,0.425
2018-04-16,2.69,1.59,0.425
2018-04-17,2.67,1.59,0.425
2018-04-18,2.7,1.59,0.425
2018-04-19,2.73,1.61,0.43
2018-04-20,2.71,1.61,0.43
2018-04-23,2.71,1.6,0.425
2018-04-24,2.68,1.6,0.43
2018-04-25,2.68,1.59,0.425
2018-04-26,2.7,1.61,0.43
2018-04-27,2.65,1.62,0.43
2018-04-30,2.67,1.62,0.425
2018-05-02,2.68,1.61,0.43
2018-05-03,2.67,1.61,0.43
2018-05-04,2.67,1.61,0.425
2018-05-07,2.65,1.61,0.43
2018-05-08,2.67,1.6,0.43
2018-05-09,2.65,1.59,0.43
2018-05-10,2.64,1.6,0.43
2018-05-11,2.67,1.6,0.425
2018-05-14,2.67,1.6,0.43
2018-05-15,2.66,1.6,0.435
2018-05-16,2.64,1.58,0.43
2018-05-17,2.65,1.59,0.43
2018-05-18,2.65,1.58,0.44
2018-05-21,2.65,1.58,0.435
2018-05-22,2.67,1.59,0.44
2018-05-23,2.63,1.58,0.44
2018-05-24,2.65,1.57,0.43
2018-05-25,2.65,1.59,0.43
2018-05-28,2.66,1.59,0.44
2018-05-30,2.64,1.58,0.43
2018-05-31,2.65,1.57,0.43
2018-06-01,2.66,1.57,0.44
2018-06-04,2.67,1.6,0.44
2018-06-05,2.68,1.6,0.435
2018-06-06,2.67,1.6,0.435
2018-06-07,2.67,1.6,0.435
2018-06-08,2.65,1.59,0.435
2018-06-11,2.67,1.59,0.435
2018-06-12,2.66,1.58,0.435
2018-06-13,2.67,1.59,0.44
2018-06-14,2.62,1.57,0.435
2018-06-18,2.61,1.56,0.43
2018-06-19,2.58,1.56,0.43
2018-06-20,2.61,1.56,0.435
2018-06-21,2.61,1.54,0.435
2018-06-22,2.6,1.57,0.43
2018-06-25,2.58,1.55,0.435
2018-06-26,2.62,1.56,0.435
2018-06-27,2.62,1.57,0.435
2018-06-28,2.64,1.56,0.43
2018-06-29,2.64,1.57,0.44
2018-07-02,2.61,1.56,0.44
2018-07-03,2.65,1.56,0.44
2018-07-04,2.64,1.57,0.44
2018-07-05,2.65,1.58,0.44
2018-07-06,2.67,1.59,0.435
2018-07-09,2.71,1.6,0.44
2018-07-10,2.71,1.62,0.44
2018-07-11,2.71,1.61,0.44
2018-07-12,2.72,1.6,0.435
2018-07-13,2.71,1.61,0.435
2018-07-16,2.7,1.6,0.44
2018-07-17,2.7,1.6,0.44
2018-07-18,2.72,1.62,0.44
2018-07-19,2.74,1.61,0.435
2018-07-20,2.73,1.61,0.44
2018-07-23,2.73,1.62,0.445
2018-07-24,2.74,1.63,0.445
2018-07-25,2.72,1.64,0.44
2018-07-26,2.72,1.64,0.44
2018-07-27,2.73,1.64,0.44
2018-07-30,2.76,1.63,0.44
2018-07-31,2.75,1.62,0.445
2018-08-01,2.76,1.62,0.445
2018-08-02,2.76,1.61,0.445
2018-08-03,2.74,1.6,0.44
2018-08-06,2.74,1.6,0.44
2018-08-07,2.77,1.6,0.44
2018-08-08,2.76,1.6,0.44
2018-08-10,2.73,1.57,0.44
2018-08-13,2.72,1.56,0.44
2018-08-14,2.72,1.57,0.44
2018-08-15,2.72,1.61,0.44
2018-08-16,2.73,1.63,0.435
2018-08-17,2.72,1.62,0.44
2018-08-20,2.74,1.61,0.44
2018-08-21,2.73,1.63,0.44
2018-08-23,2.73,1.62,0.44
2018-08-24,2.71,1.63,0.44
2018-08-27,2.72,1.62,0.44
